datetime,co2_factor,solar_volume,wind_volume
2020-12-31 23:00:00+00:00,0.7837736440000758,0.0,0.012717172171217744
2021-01-01 00:00:00+00:00,0.7761768245441081,0.0,0.014713406449837249
2021-01-01 01:00:00+00:00,0.7555277547638304,0.0,0.018734563587625125
2021-01-01 02:00:00+00:00,0.7333848195565575,0.0,0.01340124907318242
2021-01-01 03:00:00+00:00,0.7132224258682429,0.0,0.00915687330064267
2021-01-01 04:00:00+00:00,0.7158267838676023,0.0,0.008186064008058576
2021-01-01 05:00:00+00:00,0.7116078217676086,0.0,0.012033095269253067
2021-01-01 06:00:00+00:00,0.720668390896942,0.0,0.010177849255469969
2021-01-01 07:00:00+00:00,0.7393941184157155,7.838376427514272e-05,0.007926792879034063
2021-01-01 08:00:00+00:00,0.7451387156507968,0.007242720620908857,0.012722695106510574
2021-01-01 09:00:00+00:00,0.7285022082402299,0.0347411334383517,0.010225561279805248
2021-01-01 10:00:00+00:00,0.6914286817906583,0.06811397110795729,0.015277666338921367
2021-01-01 11:00:00+00:00,0.6622300458861251,0.09293294616043692,0.025922050211766214
2021-01-01 12:00:00+00:00,0.6606905588826593,0.08821162906998956,0.040947042261040616
2021-01-01 13:00:00+00:00,0.6941151172787796,0.06322580350958618,0.04031083079828046
2021-01-01 14:00:00+00:00,0.7301104721822026,0.041853180673309946,0.03584707176271997
2021-01-01 15:00:00+00:00,0.7782852029578234,0.007414688620876428,0.03451773192070967
2021-01-01 16:00:00+00:00,0.7940083140326745,0.0,0.04083336184292986
2021-01-01 17:00:00+00:00,0.7953142488872241,0.0,0.04561254184965864
2021-01-01 18:00:00+00:00,0.7945829253686763,0.0,0.05016282687147347
2021-01-01 19:00:00+00:00,0.7967398197790966,0.0,0.04231657679879317
2021-01-01 20:00:00+00:00,0.7969508367988622,0.0,0.03831183505201454
2021-01-01 21:00:00+00:00,0.7977110356052219,0.0,0.03621097183256976
2021-01-01 22:00:00+00:00,0.7964762207913131,0.0,0.03857586204198566
2021-01-01 23:00:00+00:00,0.7891158479045188,0.0,0.03486767123745814
2021-01-02 00:00:00+00:00,0.7744656708534481,0.0,0.03833208581475492
2021-01-02 01:00:00+00:00,0.7592235159448076,0.0,0.03334763671297596
2021-01-02 02:00:00+00:00,0.7549646521940958,0.0,0.028470884849407196
2021-01-02 03:00:00+00:00,0.7532783767346973,0.0,0.026011951325143945
2021-01-02 04:00:00+00:00,0.7503115270553945,0.0,0.029798843957594287
2021-01-02 05:00:00+00:00,0.766646876929594,0.0,0.02366347650673729
2021-01-02 06:00:00+00:00,0.7872728602625745,0.0,0.01835302080781213
2021-01-02 07:00:00+00:00,0.8086700687647981,9.718168059452084e-05,0.02126974430190328
2021-01-02 08:00:00+00:00,0.8069548491028021,0.006697986393551352,0.018473604895038916
2021-01-02 09:00:00+00:00,0.7912865941833174,0.029400397137649897,0.019135896885570762
2021-01-02 10:00:00+00:00,0.7731059824798251,0.05206652942329918,0.020410927863868236
2021-01-02 11:00:00+00:00,0.7618162962631376,0.06323639317134022,0.01903494990160737
2021-01-02 12:00:00+00:00,0.7697241280673238,0.06188243651396442,0.015715665790616624
2021-01-02 13:00:00+00:00,0.7849818577135212,0.047070387809627266,0.012002412295404013
2021-01-02 14:00:00+00:00,0.8078728627280007,0.026587397897166784,0.002375629250263068
2021-01-02 15:00:00+00:00,0.8249961151453161,0.0054454168805288545,0.0
2021-01-02 16:00:00+00:00,0.8300122832821303,0.0,0.0
2021-01-02 17:00:00+00:00,0.8300862977430056,0.0,0.0005754591745390228
2021-01-02 18:00:00+00:00,0.8303689861215355,0.0,0.0009039204095931544
2021-01-02 19:00:00+00:00,0.8318760831840233,0.0,0.0
2021-01-02 20:00:00+00:00,0.8354678519799974,0.0,0.0
2021-01-02 21:00:00+00:00,0.8325311180543474,0.0,0.0
2021-01-02 22:00:00+00:00,0.827746710282485,0.0,0.0
2021-01-02 23:00:00+00:00,0.824106425489783,0.0,0.002945718904378506
2021-01-03 00:00:00+00:00,0.7945835456015853,0.0,0.004651999080124444
2021-01-03 01:00:00+00:00,0.793414613305926,0.0,0.004956220765837822
2021-01-03 02:00:00+00:00,0.7840829334790922,0.0,0.008697395767253074
2021-01-03 03:00:00+00:00,0.7785626538140082,0.0,0.010167877288969026
2021-01-03 04:00:00+00:00,0.7724377159740318,0.0,0.012215658963654943
2021-01-03 05:00:00+00:00,0.7566631255674561,0.0,0.024083066174123115
2021-01-03 06:00:00+00:00,0.7356231712228074,0.0,0.03603884034927656
2021-01-03 07:00:00+00:00,0.7467758548806046,6.287928342951009e-05,0.04179680722179019
2021-01-03 08:00:00+00:00,0.7560445466094462,0.0029784310377412504,0.046359979092621614
2021-01-03 09:00:00+00:00,0.7379240285836884,0.015001294573482373,0.06744593238116905
2021-01-03 10:00:00+00:00,0.7002637617989389,0.033675985737904354,0.09690511581825431
2021-01-03 11:00:00+00:00,0.680787621370871,0.04770982097391447,0.13461893970995079
2021-01-03 12:00:00+00:00,0.6467555103796241,0.05422139891965183,0.1975810157076882
2021-01-03 13:00:00+00:00,0.6174805858268673,0.042973810094430395,0.27080163718211864
2021-01-03 14:00:00+00:00,0.5991525654345103,0.020341017509423024,0.2984517524810636
2021-01-03 15:00:00+00:00,0.5967014049645303,0.004063136678078843,0.33648652027922116
2021-01-03 16:00:00+00:00,0.619861177574376,0.0,0.30906499313545166
2021-01-03 17:00:00+00:00,0.5961602862057995,0.0,0.3302221309233289
2021-01-03 18:00:00+00:00,0.5722674672081809,0.0,0.34808851976589505
